The Shawshank Redemption,course several years two convicts form friendship seeking consolation eventually redemption basic compassion
The Godfather,aging patriarch organized crime dynasty transfers control clandestine empire reluctant son
The Dark Knight,menace known joker wreaks havoc chaos people gotham batman must accept one greatest psychological physical tests ability fight injustice
The Godfather Part II,early life career vito corleone 1920s new york city portrayed son michael expands tightens grip family crime syndicate
12 Angry Men,jury new york city murder trial frustrated single member whose skeptical caution forces carefully consider evidence jumping hasty verdict
Schindler's List,germanoccupied poland world war ii industrialist oskar schindler gradually becomes concerned jewish workforce witnessing persecution nazis
The Lord of the Rings: The Return of the King,gandalf aragorn lead world men saurons army draw gaze frodo sam approach mount doom one ring
Pulp Fiction,lives two mob hitmen boxer gangster wife pair diner bandits intertwine four tales violence redemption
The Lord of the Rings: The Fellowship of the Ring,meek hobbit shire eight companions set journey destroy powerful one ring save middleearth dark lord sauron
"The Good, the Bad and the Ugly",bounty hunting scam joins two men uneasy alliance third race find fortune gold buried remote cemetery
Forrest Gump,history united states 1950s 70s unfolds perspective alabama man iq 75 yearns reunited childhood sweetheart
The Lord of the Rings: The Two Towers,frodo sam edge closer mordor help shifty gollum divided fellowship makes stand saurons new ally saruman hordes isengard
Fight Club,insomniac office worker devilmaycare soap maker form underground fight club evolves much
Inception,thief steals corporate secrets use dreamsharing technology given inverse task planting idea mind ceo tragic past may doom project team disaster
Star Wars: Episode V - The Empire Strikes Back,rebel alliance overpowered empire luke skywalker begins jedi training yoda friends pursued across galaxy darth vader bounty hunter boba fett
The Matrix,beautiful stranger leads computer hacker neo forbidding underworld discovers shocking truththe life knows elaborate deception evil cyberintelligence
GoodFellas,story henry hill life mafia covering relationship wife karen mob partners jimmy conway tommy devito
One Flew Over the Cuckoo's Nest,fall 1963 korean war veteran criminal pleads insanity admitted mental institution rallies scared patients tyrannical nurse
Seven,two detectives rookie veteran hunt serial killer uses seven deadly sins motives
Interstellar,earth becomes uninhabitable future farmer exnasa pilot joseph cooper tasked pilot spacecraft along team researchers find new planet humans
It's a Wonderful Life,angel sent heaven help desperately frustrated businessman showing life would like never existed
Seven Samurai,farmers village exploited bandits hire veteran samurai protection gathers six samurai join
The Silence of the Lambs,young fbi cadet must receive help incarcerated manipulative cannibal killer help catch another serial killer madman skins victims
Saving Private Ryan,following normandy landings group us soldiers go behind enemy lines retrieve paratrooper whose brothers killed action
City of God,slums rio two kids paths diverge one struggles become photographer kingpin
Life Is Beautiful,openminded jewish waiter son become victims holocaust uses perfect mixture humor imagination protect son dangers around camp
The Green Mile,tale set death row gentle giant john coffey possesses mysterious power heal peoples ailments lead guard paul edgecombe recognizes johns gift tries help stave condemned mans execution
Dune: Part Two,paul atreides unites chani fremen seeking revenge conspirators destroyed family
Terminator 2: Judgment Day,cyborg identical to the one who failed to kill sarah connor must now protect her ten year old son john from an even more advanced and powerful cyborg
Star Wars: Episode IV - A New Hope,luke skywalker joins forces jedi knight cocky pilot wookiee two droids save galaxy empires worlddestroying battle station also attempting rescue princess leia mysterious darth vader
Back to the Future,marty mcfly 17yearold high school student accidentally sent 30 years past timetraveling delorean invented close friend maverick scientist doc brown
Spirited Away,familys move suburbs sullen 10yearold girl wanders world ruled gods witches spirits humans changed beasts
The Pianist,wwii acclaimed polish musician wladyslaw faces various struggles loses contact family situation worsens hides ruins warsaw order survive
Parasite,greed class discrimination threaten newlyformed symbiotic relationship wealthy park family destitute kim clan
Psycho,phoenix secretary embezzles $40000 employers client goes run checks remote motel run young man domination mother
Gladiator,former roman general sets exact vengeance corrupt emperor murdered family sent slavery
Spider-Man: Across the Spider-Verse,miles morales catapults across multiverse encounters team spiderpeople charged protecting existence heroes clash handle new threat miles must redefine means hero
The Lion King,lion prince simba father targeted bitter uncle wants ascend throne
The Departed,undercover cop mole police attempt identify infiltrating irish gang south boston
Leon,12yearold mathilda reluctantly taken léon professional assassin family murdered unusual relationship forms becomes protégée learns assassins trade
American History X,living life marked violence neonazi derek finally goes prison killing two black youths upon release derek vows change hopes prevent brother danny idolizes derek following footsteps
Whiplash,promising young drummer enrolls cutthroat music conservatory dreams greatness mentored instructor stop nothing realize students potential
The Prestige,tragic accident two stage magicians 1890s london engage battle create ultimate illusion sacrificing everything outwit
Grave of the Fireflies,young boy little sister struggle survive japan world war ii
Harakiri,ronin requesting seppuku feudal lords palace told brutal suicide another ronin previously visited reveals pasts intertwined  challenges clans integrity
The Usual Suspects,sole survivor pier shootout tells story notorious criminal influenced events began five criminals meeting seemingly random police lineup
Casablanca,cynical expatriate american cafe owner struggles decide whether help former lover fugitive husband escape nazis french morocco
Untouchable,becomes quadriplegic paragliding accident aristocrat hires young man projects caregiver
Cinema Paradiso,filmmaker recalls childhood falling love pictures cinema home village forms deep friendship cinemas projectionist
Modern Times,tramp struggles live modern industrial society help young homeless woman
Rear Window,wheelchairbound photographer spies neighbors greenwich village courtyard apartment window despite skepticism fashionmodel girlfriend becomes convinced one committed murder
Once Upon a Time in the West,mysterious stranger harmonica joins forces notorious desperado protect beautiful widow ruthless assassin working railroad
Alien,crew commercial spacecraft encounters deadly lifeform investigating mysterious transmission unknown origin
City Lights,aid wealthy erratic tippler dewyeyed tramp fallen love sightless flower girl accumulates money able help medically
Django Unchained,help german bountyhunter freed slave sets rescue wife brutal plantation owner mississippi
Apocalypse Now,us army officer serving vietnam tasked assassinating renegade special forces colonel sees god
Memento,man shortterm memory loss attempts track wifes murderer
12th Fail,reallife story ips officer manoj kumar sharma irs officer shraddha joshi
WALL·E,distant future small wastecollecting robot inadvertently embarks space journey ultimately decide fate mankind
Raiders of the Lost Ark,1936 archaeologist adventurer indiana jones hired us government find ark covenant nazis obtain awesome powers
The Lives of Others,1984 east berlin agent secret police conducting surveillance writer lover finds becoming increasingly absorbed lives
Sunset Blvd.,screenwriter develops dangerous relationship faded film star determined make triumphant return
Avengers: Infinity War,avengers allies must willing sacrifice attempt defeat powerful thanos blitz devastation ruin puts end universe
Paths of Glory,failed attack german position general orders three soldiers chosen random courtmartialed cowardice commanding officer must defend
Spider-Man: Into the Spider-Verse,teen miles morales becomes spiderman universe must join five spiderpowered individuals dimensions stop threat realities
Witness for the Prosecution,veteran british barrister must defend client murder trial surprise after surprise
The Shining,family heads isolated hotel winter sinister presence influences father violence psychic son sees horrific forebodings past future
The Great Dictator,dictator adenoid hynkel tries expand empire poor jewish barber tries avoid persecution hynkels regime
Aliens,decades surviving nostromo incident ellen ripley sent reestablish contact terraforming colony finds battling alien queen offspring
Inglourious Basterds,nazioccupied france world war ii plan assassinate nazi leaders group jewish us soldiers coincides theatre owners vengeful plans
The Dark Knight Rises,eight years jokers reign chaos batman coerced exile assistance mysterious selina kyle order defend gotham city vicious guerrilla terrorist bane
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,unhinged american general orders bombing attack soviet union triggering path nuclear holocaust war room full politicians generals frantically tries stop
Coco,aspiring musician miguel confronted familys ancestral ban music enters land dead find greatgreatgrandfather legendary singer
American Beauty,sexually frustrated suburban father midlife crisis becoming infatuated daughters best friend
Oldboy,kidnapped imprisoned fifteen years oh daesu released find must track captor five days
Amadeus,life success troubles wolfgang amadeus mozart told antonio salieri contemporaneous composer deeply jealous mozarts talent claimed murdered
Toy Story,cowboy doll profoundly threatened jealous new spaceman action figure supplants top toy boys bedroom
Avengers: Endgame,devastating events avengers: infinity war 2018 universe is in ruins with the help of remaining allies the avengers assemble once more in order to reverse thanos actions and restore balance to the universe
Das Boot,german uboat stalks frigid waters north atlantic young crew experience sheer terror claustrophobic life submariner world war ii
Braveheart,scottish warrior william wallace leads countrymen rebellion free homeland tyranny king edward england
Good Will Hunting,hunting janitor mit gift mathematics needs help psychologist find direction life
Princess Mononoke,journey find cure tatarigamis curse ashitaka finds middle war forest gods tatara mining colony quest also meets san mononoke hime
Joker,1980s failed standup comedian driven insane turns life crime chaos gotham city becoming infamous psychopathic crime figure
Your Name.,two teenagers share profound magical connection upon discovering swapping bodies things manage become even complicated boy girl decide meet person
High and Low,executive yokohama shoe company becomes victim extortion chauffeurs son kidnapped mistake held ransom
Once Upon a Time in America,former prohibitionera jewish gangster returns lower east side manhattan 35 years later must confront ghosts regrets old life
3 Idiots,two friends searching long lost companion revisit college days recall memories friend inspired think differently even rest world called idiots
Singin' in the Rain,silent film star falls chorus girl delusionally jealous screen partner trying make difficult transition talking pictures 1920s hollywood
Capernaum,serving fiveyear sentence violent crime 12yearold boy sues parents neglect
Come and See,finding old rifle young boy joins soviet resistance movement ruthless german forces experiences horrors world war ii
Requiem for a Dream,druginduced utopias four coney island people shattered addictions run deep
Toy Story 3,toys mistakenly delivered daycare center instead attic right andy leaves college woody convince toys werent abandoned return home
Star Wars: Episode VI - Return of the Jedi,rescuing han solo jabba hutt rebel alliance attempt destroy second death star luke struggles help darth vader back dark side
Eternal Sunshine of the Spotless Mind,relationship turns sour couple undergoes medical procedure erased memories forever
The Hunt,teacher lives lonely life struggling sons custody life slowly gets better finds love receives good news son new luck brutally shattered innocent little lie
2001: A Space Odyssey,uncovering mysterious artifact buried beneath lunar surface spacecraft sent jupiter find origins: spacecraft manned two men supercomputer hal 9000
Oppenheimer,story american scientist j robert oppenheimer role development atomic bomb
Reservoir Dogs,simple jewelry heist goes horribly wrong surviving criminals begin suspect one police informant
Ikiru,bureaucrat tries find meaning life discovers terminal cancer
Lawrence of Arabia,story te lawrence english officer successfully united led diverse often warring arab tribes world war order fight turks
The Apartment,manhattan insurance clerk tries rise company letting executives use apartment trysts complications romance ensue
Incendies,twins journey middle east discover family history fulfill mothers last wishes
North by Northwest,new york city advertising executive goes run mistaken government agent group foreign spies falls woman whose loyalties begins doubt
Citizen Kane,following death publishing tycoon charles foster kane reporters scramble uncover meaning final utterance: rosebud
M,police german city unable catch childmurderer criminals join manhunt
Double Indemnity,los angeles insurance representative lets alluring housewife seduce scheme insurance fraud murder arouses suspicion colleague insurance investigator
Scarface,1980 miami determined cuban immigrant takes drug cartel succumbs greed
Vertigo,former san francisco police detective juggles wrestling personal demons becoming obsessed hauntingly beautiful woman hired trail may deeply disturbed
Amélie,despite caught imaginative world amelie young waitress decides help people find happiness quest spread joy leads journey finds true love
Full Metal Jacket,pragmatic us marine observes dehumanizing effects vietnam war fellow recruits brutal boot camp training bloody street fighting hue
Heat,group highend professional thieves start feel heat lapd unknowingly leave verbal clue latest heist
A Clockwork Orange,future sadistic gang leader imprisoned volunteers conductaversion experiment doesnt go planned
Up,78yearold carl fredricksen travels paradise falls house equipped balloons inadvertently taking young stowaway
To Kill a Mockingbird,atticus finch widowed lawyer depressionera alabama defends black man undeserved rape charge tries educate young children prejudice
A Separation,married couple faced difficult decision  improve life child moving another country stay iran look deteriorating parent alzheimers disease
The Sting,two grifters team pull ultimate con
Indiana Jones and the Last Crusade,1938 father goes missing pursuing holy grail indiana jones finds nazis stop obtaining powers
Die Hard,new york city police officer tries save estranged wife several others taken hostage terrorists christmas party nakatomi plaza los angeles
Like Stars on Earth,eightyearold boy thought lazy troublemaker new art teacher patience compassion discover real problem behind struggles school
Metropolis,futuristic city sharply divided working class city planners son citys mastermind falls love workingclass prophet predicts coming savior mediate differences
Snatch,unscrupulous boxing promoters violent bookmakers russian gangster incompetent amateur robbers supposedly jewish jewelers fight track priceless stolen diamond
Hamilton,real life one americas foremost founding fathers first secretary treasury alexander hamilton captured live broadway richard rodgers theater original broadway cast
L.A. Confidential,corruption grows 1950s los angeles three policemen  one straitlaced one brutal one sleazy  investigate series murders brand justice
1917,april 6th 1917 infantry battalion assembles wage war deep enemy territory two soldiers assigned race time deliver message stop 1600 men walking straight deadly trap
Bicycle Thieves,postwar italy workingclass mans bicycle stolen endangering efforts find work son set find
Taxi Driver,mentally unstable veteran works nighttime taxi driver new york city perceived decadence sleaze fuels urge violent action
Downfall,traudl junge final secretary adolf hitler tells nazi dictators final days berlin bunker end wwii
Dangal,former wrestler mahavir singh phogat two wrestler daughters struggle towards glory commonwealth games face societal oppression
For a Few Dollars More,two bounty hunters intentions team track gang outlaws led psychotic mexican bandit plotting audacious bank robbery
Batman Begins,witnessing parents death bruce learns art fighting confront injustice returns gotham batman must stop secret society intends destroy city
The Wolf of Wall Street,based true story jordan belfort rise wealthy stockbroker living high life fall involving crime corruption federal government
Some Like It Hot,two male musicians witness mob hit flee state an allfemale band disguised as women but further complications set in
Green Book,workingclass italianamerican bouncer becomes driver africanamerican classical pianist tour venues 1960s american south
The Kid,tramp cares abandoned child events put relationship jeopardy
The Father,man refuses assistance daughter ages tries make sense changing circumstances begins doubt loved ones mind even fabric reality
Judgment at Nuremberg,1948 american court occupied germany tries four nazis judged war crimes
The Truman Show,insurance salesman discovers whole life actually reality tv show
All About Eve,seemingly timid secretly ruthless ingénue insinuates lives aging broadway star circle theater friends
Top Gun: Maverick,thirty years maverick still pushing envelope top naval aviator must confront ghosts past leads top guns elite graduates mission demands ultimate sacrifice chosen fly
Shutter Island,teddy daniels chuck aule two us marshals sent asylum remote island order investigate disappearance patient teddy uncovers shocking truth place
There Will Be Blood,story family religion hatred oil madness focusing turnofthecentury prospector early days business
Casino,las vegas two best friends  casino executive mafia enforcer  compete gambling empire fastliving fastloving socialite
Jurassic Park,pragmatic paleontologist touring almost complete theme park island central america tasked protecting couple kids power failure causes parks cloned dinosaurs run loose
Ran,medieval japan elderly warlord retires handing empire three sons however vastly underestimates newfound power corrupt cause turn otherand
The Sixth Sense,malcolm crowe child psychologist starts treating young boy cole encounters dead people convinces help turn cole helps malcolm reconcile estranged wife
Pan's Labyrinth,falangist spain 1944 bookish young stepdaughter sadistic army officer escapes eerie captivating fantasy world
Unforgiven,retired old west gunslinger william munny reluctantly takes one last job help old partner ned logan young man schofield kid
No Country for Old Men,violence mayhem ensue hunter stumbles upon aftermath drug deal gone wrong two million dollars cash near rio grande
A Beautiful Mind,mathematical genius john nash made astonishing discovery early career stood brink international acclaim handsome arrogant nash soon found harrowing journey selfdiscovery
The Thing,research team antarctica hunted shapeshifting alien assumes appearance victims
Kill Bill: Vol. 1,awakening fouryear coma former assassin wreaks vengeance team assassins betrayed
The Treasure of the Sierra Madre,two downontheirluck americans searching work 1920s mexico convince old prospector help mine gold sierra madre mountains
Yojimbo,crafty ronin comes town divided by two criminal gangs and decides to play them against each other to free the town
Monty Python and the Holy Grail,king arthur knights round table embark surreal lowbudget search holy grail encountering many silly obstacles
The Great Escape,allied prisoners war plan several hundred number escape german camp world war ii
Finding Nemo,son captured great barrier reef taken sydney timid clownfish sets journey bring home
Prisoners,keller dovers daughter friend go missing takes matters hands police pursue multiple leads pressure mounts
Rashomon,rape bride murder samurai husband recalled perspectives bandit bride samurais ghost woodcutter
Howl's Moving Castle,unconfident young woman cursed old body spiteful witch chance breaking spell lies selfindulgent yet insecure young wizard companions legged walking castle
The Elephant Man,victorian surgeon rescues heavily disfigured man mistreated scraping living sideshow freak behind monstrous façade revealed person kindness intelligence sophistication
Chinatown,private detective hired expose adulterer 1930s los angeles finds caught web deceit corruption murder
Dial M for Murder,former tennis star arranges murder adulterous wife
Gone with the Wind,sheltered manipulative southern belle roguish profiteer face turbulent romance society around crumbles end slavery rebuilt civil war reconstruction periods
V for Vendetta,future british dystopian society shadowy freedom fighter known alias v plots overthrow tyrannical government  help young woman
"Lock, Stock and Two Smoking Barrels",eddy persuades three pals pool money vital poker game powerful local mobster hatchet harry eddy loses harry gives week pay back 500000 pounds
The Secret in Their Eyes,retired legal counselor writes novel hoping find closure one past unresolved homicide cases unreciprocated love superior  still haunt decades later
Inside Out,young riley uprooted midwest life moved san francisco emotions  joy fear anger disgust sadness  conflict best navigate new city house school
Raging Bull,life boxer jake lamotta whose violence temper led top ring destroyed life outside
"Three Billboards Outside Ebbing, Missouri",mother personally challenges local authorities solve daughters murder fail catch culprit
Trainspotting,renton deeply immersed edinburgh drug scene tries clean get despite allure drugs influence friends
The Bridge on the River Kwai,british pows forced build railway bridge across river kwai japanese captors occupied burma knowing allied forces planning daring commando raid jungle destroy
Klaus,simple act kindness always sparks another even frozen faraway place smeerensburgs new postman jesper befriends toymaker klaus gifts melt ageold feud deliver sleigh full holiday traditions
Fargo,minnesota car salesman jerry lundegaards inept crime falls apart due henchmens bungling persistent police work quite pregnant marge gunderson
Spider-Man: No Way Home,spidermans identity revealed peter asks doctor strange help spell goes wrong dangerous foes worlds start appear forcing peter discover truly means spiderman
Catch Me If You Can,barely 17 yet frank skilled forger passed doctor lawyer pilot fbi agent carl becomes obsessed tracking con man revels pursuit
Warrior,youngest son alcoholic former boxer returns home hes trained father competition mixed martial arts tournament  path puts fighter collision course estranged older brother
Gran Torino,hmong teenager tries steal prized 1972 gran torino disgruntled prejudiced korean war veteran seeks redeem boy
My Neighbour Totoro,two girls move country near ailing mother adventures wondrous forest spirits live nearby
Million Dollar Baby,frankie illtempered old coach reluctantly agrees train aspiring boxer maggie impressed determination talent helps become best two soon form close bond
Harry Potter and the Deathly Hallows: Part 2,harry ron hermione search voldemorts remaining horcruxes effort destroy dark lord final battle rages hogwarts
Children of Heaven,boy loses sisters pair of shoes he goes on a series of adventures in order to find them when he cant he tries a new way to win a new pair
12 Years a Slave,antebellum united states solomon northup free black man upstate new york abducted sold slavery
Blade Runner,blade runner must pursue terminate four replicants stole ship space returned earth find creator
Ben-Hur,jewish prince betrayed sent slavery roman friend 1stcentury jerusalem regains freedom comes back revenge
Before Sunrise,young man woman meet train europe wind spending one evening together in vienna unfortunately both know that this will probably be their only night together
The Grand Budapest Hotel,writer encounters owner aging highclass hotel tells early years serving lobby boy hotels glorious years exceptional concierge
Barry Lyndon,irish rogue wins heart rich widow assumes dead husbands aristocratic position 18thcentury england
Gone Girl,wifes disappearance become focus intense media circus man sees spotlight turned suspected may innocent
Hacksaw Ridge,world war ii american army medic desmond doss serving battle okinawa refuses kill people becomes first man american history receive medal honor without firing shot
The Gold Rush,prospector goes klondike 1890s gold rush hopes making fortune smitten girl sees dance hall
Mad Max: Fury Road,postapocalyptic wasteland woman rebels tyrannical ruler search homeland aid group female prisoners psychotic worshiper drifter named max
Memories of Murder,small korean province 1986 two detectives struggle case multiple young women found raped murdered unknown culprit
In the Name of the Father,irish mans coerced confession ira bombing commit results imprisonment father well meanwhile british lawyer fights clear names free
Dead Poets Society,maverick teacher john keating returns 1959 prestigious new england boys boarding school star student using poetry embolden pupils new heights selfexpression
Wild Tales,six short stories explore extremities human behavior involving people distress
The Deer Hunter,indepth examination ways vietnam war impacts disrupts lives several friends small steel mill town pennsylvania
The General,rejected confederate military realizing due crucial civilian role engineer must singlehandedly recapture beloved locomotive seized union spies return enemy lines
"Monsters, Inc.",order power city monsters scare children scream however children toxic monsters child gets two monsters realize things may think
On the Waterfront,exprize fighter turned new jersey longshoreman struggles stand corrupt union bosses including older brother starts connect grieving sister one syndicates victims
Sherlock Jr.,film projectionist longs detective puts meagre skills work framed rival stealing girlfriends fathers pocketwatch
How to Train Your Dragon,hapless young viking aspires hunt dragons becomes unlikely friend young dragon learns may creatures assumed
Jaws,killer shark unleashes chaos beach community cape cod local sheriff marine biologist old seafarer hunt beast
The Wages of Fear,decrepit south american village four men hired transport urgent nitroglycerine shipment without equipment would make safe
The Third Man,pulp novelist holly martins travels shadowy postwar vienna find investigating mysterious death old friend harry lime
Mary and Max,1976 melbourne lonely 8yearold girl strikes correspondence unlikely pen pal: severely obese 44yearold new yorker aspergers syndrome
Wild Strawberries,living life marked coldness aging professor forced confront emptiness existence
Mr. Smith Goes to Washington,naive youth leader appointed fill vacancy us senate idealistic plans promptly collide corruption home subterfuge hero washington tries forge ahead despite attacks character
Ratatouille,rat cook makes unusual alliance young kitchen worker famous paris restaurant
Le Mans '66,american car designer carroll shelby driver ken miles battle corporate interference laws physics build revolutionary race car ford order defeat ferrari 24 hours le mans 1966
Tokyo Story,old couple visit children grandchildren city receive little attention
The Big Lebowski,jeff dude lebowski mistaken millionaire name seeks restitution ruined rug enlists bowling buddies help get
Room,little boy held captive room mother since birth never known world outside
The Seventh Seal,knight returning sweden crusades seeks answers life death existence god plays chess grim reaper black plague
Rocky,smalltime philadelphia boxer gets supremely rare chance fight world heavyweight champion bout strives go distance selfrespect
Logan,future mutants nearly extinct elderly weary logan leads quiet life laura mutant child pursued scientists comes help must get safety
Spotlight,true story boston globe uncovered massive scandal child molestation coverup within local catholic archdiocese shaking entire catholic church core
Hotel Rwanda,paul rusesabagina hotel manager houses thousand tutsi refugees struggle hutu militia rwanda africa
The Terminator,human soldier sent 2029 1984 stop almost indestructible cyborg killing machine sent year programmed execute young woman whose unborn son key humanitys future salvation
Platoon,chris taylor neophyte recruit vietnam finds caught battle wills two sergeants one good evil shrewd examination brutality war duality man conflict
The Passion of Joan of Arc,1431 jeanne darc placed trial charges heresy ecclesiastical jurists attempt force jeanne recant claims holy visions
La haine,24 hours lives three young men french suburbs day violent riot
Before Sunset,nine years jesse celine first met encounter french leg jesses book tour
The Best Years of Our Lives,three world war ii veterans two traumatized disabled return home american midwest discover families irreparably changed
Pirates of the Caribbean: The Curse of the Black Pearl,blacksmith turner teams eccentric pirate captain jack sparrow save love governors daughter jacks former pirate allies undead
The Exorcist,young girl possessed mysterious entity mother seeks help two catholic priests save life
Jai Bhim,tribal man arrested case alleged theft wife turns humanrights lawyer help bring justice
Rush,merciless 1970s rivalry formula one rivals james hunt niki lauda
Network,television network cynically exploits deranged former anchors ravings revelations news media profit finds message may difficult control
The Wizard of Oz,young dorothy gale dog toto swept away tornado kansas farm magical land oz embark quest three new friends see wizard return home fulfill others wishes
Stand by Me,writer recounts childhood journey friends find body missing boy
The Incredibles,trying lead quiet suburban life family undercover superheroes forced action save world
Hachi: A Dog's Tale,professor wilson discovers lost akita puppy way home despite objections wife hachi endears family grows parkers loyal companion bond grows deeper beautiful relationship unfolds
My Father and My Son,family leftwing journalist torn apart military coup turkey 1980
The Handmaiden,woman hired handmaiden japanese heiress secretly involved plot defraud
Into the Wild,graduating emory university top student athlete christopher mccandless abandons possessions gives entire $24000 savings account charity hitchhikes alaska live wilderness along way christopher encounters series characters th read
The Sound of Music,young novice sent convent 1930s austria become governess seven children widowed naval officer
To Be or Not to Be,german occupation poland acting troupe becomes embroiled polish soldiers efforts track german spy
The Battle of Algiers,1950s fear violence escalate people algiers fight independence french government
The Grapes of Wrath,oklahoma family driven farm poverty hopelessness dust bowl joins westward migration california suffering misfortunes homeless great depression
Groundhog Day,narcissistic selfcentered weatherman finds time loop groundhog day
Amores perros,amateur dog fighter supermodel derelict assassin separately struggling find love find lives transformed devastating car wreck mexico city
The Iron Giant,young boy befriends giant robot outer space paranoid government agent wants destroy
Rebecca,selfconscious woman juggles adjusting new role aristocrats wife avoiding intimidated first wifes spectral presence
Cool Hand Luke,laidback southern man sentenced two years rural prison refuses conform
The Help,aspiring author civil rights movement 1960s decides write book detailing african american maids point view white families work hardships go daily basis
It Happened One Night,rogue reporter trailing runaway heiress big story joins bus heading florida new york end stuck bus leaves behind one stops along way
Drishyam,desperate measures taken man tries save family dark side law commit unexpected crime
Dances with Wolves,lieutenant john dunbar assigned remote western civil war outpost finds engaging neighbouring sioux settlement causing question purpose
Aladdin,kindhearted street urchin powerhungry grand vizier vie magic lamp power make deepest wishes come true
Gangs of Wasseypur,A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur and ignites a deadly blood feud spanning three generations